Epoch,evaluation/Actions Max,evaluation/Actions Mean,evaluation/Actions Min,evaluation/Actions Std,evaluation/Average Returns,evaluation/Num Paths,evaluation/Returns Max,evaluation/Returns Mean,evaluation/Returns Min,evaluation/Returns Std,evaluation/Rewards Max,evaluation/Rewards Mean,evaluation/Rewards Min,evaluation/Rewards Std,evaluation/num paths total,evaluation/num steps total,evaluation/path length Max,evaluation/path length Mean,evaluation/path length Min,evaluation/path length Std,exploration/Actions Max,exploration/Actions Mean,exploration/Actions Min,exploration/Actions Std,exploration/Average Returns,exploration/Num Paths,exploration/Returns Max,exploration/Returns Mean,exploration/Returns Min,exploration/Returns Std,exploration/Rewards Max,exploration/Rewards Mean,exploration/Rewards Min,exploration/Rewards Std,exploration/num paths total,exploration/num steps total,exploration/path length Max,exploration/path length Mean,exploration/path length Min,exploration/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/sac training (s),time/saving (s),time/total (s),time/training (s),trainer/Alpha,trainer/Alpha Loss,trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/num train calls
0,-0.0023274797,-0.0028945021,-0.003799603,0.00043521525,-4848.019850107474,1,-4848.019850107474,-4848.019850107474,-4848.019850107474,0.0,-0.531938099899484,-4.84801985010747,-14.953739855531582,4.352698706842713,1,1000,1000,1000.0,1000,0.0,0.9957437,0.016633635,-0.99851346,0.62657505,-5254.429655766911,1,-5254.429655766911,-5254.429655766911,-5254.429655766911,0.0,-0.12286091830959002,-5.254429655766913,-15.761331903576862,4.0289347841571646,2,2000,1000,1000.0,1000,0.0,2000,0.011775000000000091,49.81287320000009,1.4187375000000007,4.585660099999998,0.010761700000003316,43.78518490000009,0.00031320000000789605,60.75571989999987,0.0004407999999926915,1.0,-0.0,-0.25765228,-0.6505329,-0.92034304,0.22791314,-0.6471541,0.6961249,-5.3340697,-11.426961,3.2655115,-0.0007534968,-0.0017852848,-0.0029119211,0.0004440597,-0.00014916807,-0.003235219,-0.0057722963,0.0015066558,39.095436,39.079338,1000
1,0.5155248,0.07765368,-0.49766845,0.11024603,-9368.541278767181,1,-9368.541278767181,-9368.541278767181,-9368.541278767181,0.0,-1.450436714334436,-9.36854127876719,-12.525816677734857,1.1114342124518273,2,2000,1000,1000.0,1000,0.0,0.9851712,0.053784363,-0.97359425,0.5708543,-8821.523559363592,1,-8821.523559363592,-8821.523559363592,-8821.523559363592,0.0,-1.6898908853238057,-8.821523559363605,-12.828215252511605,1.1916142649057202,3,3000,1000,1000.0,1000,0.0,3000,0.010215099999996369,51.42555269999987,2.536325000000005,6.843623199999996,0.00950400000000684,42.02548479999986,0.00022390000000882537,116.56922949999971,0.00017669999999725405,0.7432582974433899,-0.49202507734298706,0.30477786,-0.6582602,-3.6869183,0.5421429,26.06611,-0.007842511,-27.05655,-49.70797,11.728899,-0.8522236,-26.54907,-48.292118,11.432204,-1.3150636,-26.627163,-48.31303,11.432219,1.2023044,1.0417664,2000
2,0.8085773,0.03786249,-0.85066754,0.69565105,-3698.844916987069,1,-3698.844916987069,-3698.844916987069,-3698.844916987069,0.0,-0.2625271855802613,-3.6988449169870683,-13.535025505844514,3.8051514236004773,3,3000,1000,1000.0,1000,0.0,0.99513495,0.024197426,-0.99544895,0.6866685,-4073.901526350712,1,-4073.901526350712,-4073.901526350712,-4073.901526350712,0.0,-0.016121363420334593,-4.0739015263507135,-14.85254493889561,3.9032216330165994,4,4000,1000,1000.0,1000,0.0,4000,0.011233000000004267,51.24439750000029,2.549114700000004,7.172767199999981,0.009941799999978684,41.5010046000003,0.00019010000002595007,172.16093689999977,0.00014609999999493084,0.5626437664031982,-0.8438199758529663,1.3642979,-0.46723574,-3.4502904,0.9785869,52.463314,-4.976437,-53.055416,-85.06401,23.789785,-4.220629,-52.944023,-85.074104,23.436771,-6.431745,-53.028206,-85.46781,23.448399,1.467156,1.149569,3000
3,0.9640176,-0.36486608,-0.93042636,0.3007592,-7053.9080414434075,1,-7053.9080414434075,-7053.9080414434075,-7053.9080414434075,0.0,-1.2008483894806201,-7.0539080414434085,-16.19236492554301,4.343526656187775,4,4000,1000,1000.0,1000,0.0,0.98343754,0.03460296,-0.99555296,0.5920141,-5861.260651525535,1,-5861.260651525535,-5861.260651525535,-5861.260651525535,0.0,-0.12983891994156224,-5.86126065152553,-16.241611574029907,4.5303882002430855,5,5000,1000,1000.0,1000,0.0,5000,0.00891970000000697,50.96467399999986,2.4984460999999953,6.6772689999999955,0.008621000000005097,41.77105909999986,0.0001834999999914544,227.32213679999995,0.00017560000000571563,0.4602191150188446,-0.6572953462600708,2.5190725,0.15302718,-2.6308708,1.2328843,68.366615,-7.5072556,-69.66031,-113.26391,31.453384,-6.2527604,-68.436295,-110.975624,32.220924,-7.619636,-68.79167,-110.51087,31.79576,12.336329,5.8773603,4000
4,0.67183465,-0.39279944,-0.91391575,0.1325114,-6995.731241329922,1,-6995.731241329922,-6995.731241329922,-6995.731241329922,0.0,-0.6759910918615115,-6.995731241329922,-16.238652330947623,4.466123435613114,5,5000,1000,1000.0,1000,0.0,0.9955822,-0.31066617,-0.993553,0.48918292,-6584.722134275744,1,-6584.722134275744,-6584.722134275744,-6584.722134275744,0.0,-0.6638468538211229,-6.5847221342757445,-16.254679986558727,4.490108481816516,6,6000,1000,1000.0,1000,0.0,6000,0.00915620000000672,51.25222359999921,2.4562827000000027,6.871177799999998,0.010121999999967102,41.90517609999927,0.00017669999999725405,282.8953385999983,0.00013209999997343402,0.39340585470199585,-0.6819779872894287,3.0855772,0.2689805,-2.291436,1.3352708,86.374016,-22.40431,-87.86573,-142.2434,34.645313,-23.546698,-86.11305,-139.77463,34.265377,-14.622495,-87.09905,-140.33502,34.769005,36.981895,13.296698,5000
5,0.9856152,-0.13502443,-0.7149397,0.18086135,-133.62938676757128,1,-133.62938676757128,-133.62938676757128,-133.62938676757128,0.0,-0.0044066520757891,-0.1336293867675714,-13.933370777067996,1.0214405922756824,6,6000,1000,1000.0,1000,0.0,0.99483633,-0.16781862,-0.99042875,0.44625703,-369.38502914440187,1,-369.38502914440187,-369.38502914440187,-369.38502914440187,0.0,-0.00012118049769572829,-0.3693850291444025,-13.70471427302751,1.6322972883073734,7,7000,1000,1000.0,1000,0.0,7000,0.009061999999971704,51.150862600001005,2.6607455000000186,6.689905699999997,0.010367200000018784,41.780483400000946,0.00016640000001189037,338.24835719999896,0.0001324000000408887,0.32597577571868896,-0.5371549725532532,3.670797,0.52079624,-2.0719757,1.3444082,107.01821,-41.63077,-107.98761,-164.56967,32.647743,-45.457386,-107.86522,-162.2674,31.785566,-44.65404,-108.099976,-163.43547,31.752602,9.3966055,8.280045,6000
6,0.9864684,-0.099695146,-0.9464455,0.15734258,-227.57599568480236,1,-227.57599568480236,-227.57599568480236,-227.57599568480236,0.0,-0.0016991261310247275,-0.22757599568480244,-12.7194433116131,1.3122009094769314,7,7000,1000,1000.0,1000,0.0,0.85159874,-0.11908183,-0.97762394,0.3556387,-4.14502621782496,1,-4.14502621782496,-4.14502621782496,-4.14502621782496,0.0,-0.0007497217067066359,-0.004145026217824962,-0.09956563710469181,0.009002141095708818,8,8000,1000,1000.0,1000,0.0,8000,0.010469199999988632,49.227287700000545,2.4726181999999994,6.835608699999966,0.010630100000014409,39.89757260000056,0.00022150000000920045,391.4843491000002,0.0001674000000093656,0.26926928758621216,-0.3626249432563782,2.821897,0.72361815,-2.0514984,1.1552455,118.68563,-51.10727,-119.45209,-191.1204,41.41463,-52.194324,-119.38965,-189.1335,40.835194,-52.46309,-119.3784,-188.33041,41.115776,6.2465057,5.1243715,7000
7,0.90724635,-0.14225581,-0.5997506,0.07010342,-127.94241828711644,1,-127.94241828711644,-127.94241828711644,-127.94241828711644,0.0,-0.0030994181968702203,-0.12794241828711642,-14.25128745693756,1.0041232792475794,8,8000,1000,1000.0,1000,0.0,0.9967556,-0.1261631,-0.95507365,0.4005412,-5.890932333191227,1,-5.890932333191227,-5.890932333191227,-5.890932333191227,0.0,-0.0007195195574807679,-0.005890932333191229,-0.10088453781130631,0.010156280922432743,9,9000,1000,1000.0,1000,0.0,9000,0.011727800000016941,49.92742709999982,2.6387042000000065,7.4300987000000305,0.010390999999970063,39.83611729999984,0.0002075999999533451,445.40236640000165,0.00018049999999902866,0.22626736760139465,0.036855846643447876,3.7164211,1.0248015,-3.6153398,1.5826439,115.653656,-56.62911,-117.627525,-215.96927,55.2115,-56.22168,-116.81349,-211.8709,54.281384,-57.461422,-117.157196,-210.5337,54.65204,6.6022377,4.2720556,8000
8,0.54876673,-0.15476595,-0.9497894,0.11036073,-125.75842279736635,1,-125.75842279736635,-125.75842279736635,-125.75842279736635,0.0,-0.0030486603054549195,-0.12575842279736638,-12.38490965663942,0.9532670331497498,9,9000,1000,1000.0,1000,0.0,0.84388787,-0.1605915,-0.99863714,0.4160476,-6.076288482986139,1,-6.076288482986139,-6.076288482986139,-6.076288482986139,0.0,-0.0008964596387900271,-0.006076288482986138,-0.08304894538275341,0.005330461561110243,10,10000,1000,1000.0,1000,0.0,10000,0.008738899999968908,49.83385790000017,2.747385100000031,6.882448699999998,0.009391999999991185,40.18556530000018,0.00018970000002127563,499.39747450000095,0.00013819999998077037,0.19481471180915833,-0.3591963052749634,3.9018748,0.7804029,-3.3786538,1.544579,119.42325,-54.864983,-120.647934,-234.81212,55.4307,-55.28355,-120.71094,-231.87463,55.116154,-54.99616,-121.097626,-230.74948,55.659386,6.350642,5.9942646,9000
9,0.7750619,-0.026970634,-0.97100824,0.09478695,-124.40489217459638,1,-124.40489217459638,-124.40489217459638,-124.40489217459638,0.0,-5.7203878085397085e-05,-0.12440489217459633,-14.67321517138822,1.0145996810347069,10,10000,1000,1000.0,1000,0.0,0.9955054,-0.025315933,-0.97181445,0.47674978,-246.07219141340474,1,-246.07219141340474,-246.07219141340474,-246.07219141340474,0.0,-1.3478937821986527e-06,-0.24607219141340497,-14.811037282158392,1.3654678764839103,11,11000,1000,1000.0,1000,0.0,11000,0.009223899999938112,50.36650300000099,2.5175593000000163,6.726207400000021,0.01000669999996262,41.10319610000113,0.000178799999957846,554.2135233000021,0.00013079999996534752,0.17595797777175903,-0.15763017535209656,4.1070848,0.9092781,-2.0489435,1.5298483,119.85504,-52.61363,-121.30757,-256.18674,71.68794,-53.669353,-121.39408,-254.11003,71.43158,-53.639355,-121.4513,-253.91624,71.67635,1.9737772,1.5463839,10000
10,0.6961763,-0.022952942,-0.024175828,0.023050519,-0.1062303679321005,1,-0.1062303679321005,-0.1062303679321005,-0.1062303679321005,0.0,-3.6667647631934503e-05,-0.00010623036793210058,-0.0037267689473704665,0.00015704232484407016,11,11000,1000,1000.0,1000,0.0,0.9625598,-0.051848046,-0.9978644,0.47519752,-130.71543815733722,1,-130.71543815733722,-130.71543815733722,-130.71543815733722,0.0,-2.934730099950845e-05,-0.13071543815733688,-14.844284995451211,1.0342850166084656,12,12000,1000,1000.0,1000,0.0,12000,0.00987529999997605,50.81930550000175,2.646892199999911,6.96582340000009,0.009382599999980812,41.186948500001904,0.00022379999995791877,609.3705722000045,0.0001596999999264881,0.15593189001083374,-0.6097058057785034,5.1936703,0.6719076,-4.315331,1.8165872,110.186905,-51.5957,-111.401566,-267.997,69.179375,-52.01983,-111.49076,-265.79202,68.738304,-52.04228,-111.80667,-267.16846,69.14987,3.2509196,2.158273,11000
11,0.9970702,-0.16572306,-0.9371139,0.17376603,-250.8971709391507,1,-250.8971709391507,-250.8971709391507,-250.8971709391507,0.0,-0.004829680355179564,-0.2508971709391502,-13.144401659927386,1.3604474469916996,12,12000,1000,1000.0,1000,0.0,0.9989508,-0.17032193,-0.98029995,0.46305916,-247.8646877041425,1,-247.8646877041425,-247.8646877041425,-247.8646877041425,0.0,-0.0016133515190731825,-0.24786468770414258,-14.457000197622193,1.3510899256072035,13,13000,1000,1000.0,1000,0.0,13000,0.008786999999983891,51.06737349999969,2.6875696000000744,6.827153199999998,0.008778600000027836,41.53477729999963,0.00018409999995583348,664.6025983000027,0.00012370000001737935,0.13760167360305786,-0.7190346717834473,4.663046,0.6374723,-1.6148272,1.4206669,105.79531,-49.94303,-106.82925,-283.0589,75.75027,-50.192257,-106.81851,-283.64658,76.023705,-50.417038,-106.84361,-282.83563,75.87819,1.7620094,1.988328,12000
12,0.9922556,-0.14690493,-0.1527137,0.064494565,-3.845857552533196,1,-3.845857552533196,-3.845857552533196,-3.845857552533196,0.0,-0.0013112059751545703,-0.003845857552533197,-0.03374841553357861,0.0011079206046145603,13,13000,1000,1000.0,1000,0.0,0.9995714,-0.15091075,-0.99801433,0.4285736,-248.9078617714594,1,-248.9078617714594,-248.9078617714594,-248.9078617714594,0.0,-0.0005067305764507139,-0.24890786177145882,-11.709017316489403,1.354243106006038,14,14000,1000,1000.0,1000,0.0,14000,0.010716399999978421,50.822597499999006,2.608718299999964,6.814796099999967,0.009231500000055348,41.3788454999991,0.00017089999994368554,719.5015267000024,0.00011879999999564461,0.11944883316755295,-0.9884554743766785,4.4463973,0.5348154,-2.1148963,1.5436294,86.47768,-48.36443,-87.99088,-271.33453,59.959484,-49.07201,-88.31024,-271.10278,59.78524,-49.00524,-88.45861,-271.69528,60.041615,4.7678366,4.0464334,13000
13,0.92116946,-0.24794692,-0.772999,0.10087983,-133.16674750990566,1,-133.16674750990566,-133.16674750990566,-133.16674750990566,0.0,-0.010332653051311766,-0.1331667475099057,-14.547923935978147,1.0218958578739081,14,14000,1000,1000.0,1000,0.0,0.69913685,-0.276157,-0.9957083,0.39319465,-131.5562652472386,1,-131.5562652472386,-131.5562652472386,-131.5562652472386,0.0,-0.0058975173318336375,-0.13155626524723865,-12.449831249371895,0.9514890893525183,15,15000,1000,1000.0,1000,0.0,15000,0.010776599999985592,50.87686750000262,2.4894705000000386,6.92344079999998,0.008571100000040133,41.444323700002656,0.00016849999997248233,774.5592015000057,0.00011629999994511309,0.10372711718082428,-0.9472630023956299,3.9739513,0.5819654,-1.8189651,1.4459777,108.287415,-46.989166,-110.4805,-299.80322,77.71877,-46.88395,-109.75247,-302.851,77.41512,-47.291927,-110.09788,-304.67447,77.32156,6.4601707,4.4965334,14000
