Epoch,evaluation/Actions Max,evaluation/Actions Mean,evaluation/Actions Min,evaluation/Actions Std,evaluation/Average Returns,evaluation/Num Paths,evaluation/Returns Max,evaluation/Returns Mean,evaluation/Returns Min,evaluation/Returns Std,evaluation/Rewards Max,evaluation/Rewards Mean,evaluation/Rewards Min,evaluation/Rewards Std,evaluation/env_infos/final/reward_ctrl Max,evaluation/env_infos/final/reward_ctrl Mean,evaluation/env_infos/final/reward_ctrl Min,evaluation/env_infos/final/reward_ctrl Std,evaluation/env_infos/final/reward_dist Max,evaluation/env_infos/final/reward_dist Mean,evaluation/env_infos/final/reward_dist Min,evaluation/env_infos/final/reward_dist Std,evaluation/env_infos/initial/reward_ctrl Max,evaluation/env_infos/initial/reward_ctrl Mean,evaluation/env_infos/initial/reward_ctrl Min,evaluation/env_infos/initial/reward_ctrl Std,evaluation/env_infos/initial/reward_dist Max,evaluation/env_infos/initial/reward_dist Mean,evaluation/env_infos/initial/reward_dist Min,evaluation/env_infos/initial/reward_dist Std,evaluation/env_infos/reward_ctrl Max,evaluation/env_infos/reward_ctrl Mean,evaluation/env_infos/reward_ctrl Min,evaluation/env_infos/reward_ctrl Std,evaluation/env_infos/reward_dist Max,evaluation/env_infos/reward_dist Mean,evaluation/env_infos/reward_dist Min,evaluation/env_infos/reward_dist Std,evaluation/num paths total,evaluation/num steps total,evaluation/path length Max,evaluation/path length Mean,evaluation/path length Min,evaluation/path length Std,exploration/Actions Max,exploration/Actions Mean,exploration/Actions Min,exploration/Actions Std,exploration/Average Returns,exploration/Num Paths,exploration/Returns Max,exploration/Returns Mean,exploration/Returns Min,exploration/Returns Std,exploration/Rewards Max,exploration/Rewards Mean,exploration/Rewards Min,exploration/Rewards Std,exploration/env_infos/final/reward_ctrl Max,exploration/env_infos/final/reward_ctrl Mean,exploration/env_infos/final/reward_ctrl Min,exploration/env_infos/final/reward_ctrl Std,exploration/env_infos/final/reward_dist Max,exploration/env_infos/final/reward_dist Mean,exploration/env_infos/final/reward_dist Min,exploration/env_infos/final/reward_dist Std,exploration/env_infos/initial/reward_ctrl Max,exploration/env_infos/initial/reward_ctrl Mean,exploration/env_infos/initial/reward_ctrl Min,exploration/env_infos/initial/reward_ctrl Std,exploration/env_infos/initial/reward_dist Max,exploration/env_infos/initial/reward_dist Mean,exploration/env_infos/initial/reward_dist Min,exploration/env_infos/initial/reward_dist Std,exploration/env_infos/reward_ctrl Max,exploration/env_infos/reward_ctrl Mean,exploration/env_infos/reward_ctrl Min,exploration/env_infos/reward_ctrl Std,exploration/env_infos/reward_dist Max,exploration/env_infos/reward_dist Mean,exploration/env_infos/reward_dist Min,exploration/env_infos/reward_dist Std,exploration/num paths total,exploration/num steps total,exploration/path length Max,exploration/path length Mean,exploration/path length Min,exploration/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/sac training (s),time/saving (s),time/total (s),time/training (s),trainer/Alpha,trainer/Alpha Loss,trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/num train calls
0,0.00088618,0.0004326676,0.00024437514,0.0001844314,-286.03268286394535,1,-286.03268286394535,-286.03268286394535,-286.03268286394535,0.0,-0.1850287839532361,-0.2860326828639454,-0.3081693154171416,0.029356137905287134,-1.5707075e-06,-1.5707075e-06,-1.5707075e-06,0.0,-0.185027213245768,-0.185027213245768,-0.185027213245768,0.0,-1.2858348e-07,-1.2858348e-07,-1.2858348e-07,0.0,-0.2897614562486644,-0.2897614562486644,-0.2897614562486644,0.0,-1.1944223e-07,-4.424283e-07,-1.5707075e-06,3.8388816e-07,-0.185027213245768,-0.2860322404356541,-0.3081690840755397,0.029356499292909323,1,1000,1000,1000.0,1000,0.0,0.99581575,0.012199438,-0.99270236,0.61003464,-943.7931114920339,1,-943.7931114920339,-943.7931114920339,-943.7931114920339,0.0,-0.0652805296798259,-0.943793111492034,-2.2811935352995962,0.6116115366942529,-0.1655755,-0.1655755,-0.1655755,0.0,-0.31950038223935784,-0.31950038223935784,-0.31950038223935784,0.0,-0.14526637,-0.14526637,-0.14526637,0.0,-0.3476143873844115,-0.3476143873844115,-0.3476143873844115,0.0,-3.7073062e-06,-0.7445821,-1.9832981,0.60558486,-0.01664031984899193,-0.19921098571162293,-0.363827613982095,0.07354285038242463,2,2000,1000,1000.0,1000,0.0,2000,0.009571499999999844,32.37695440000009,1.6078841000000015,4.2863899,0.012541699999999878,26.46022830000009,0.00019710000000117134,41.02742460000014,0.0001417999999944186,1.0,-0.0,-0.74877584,-1.380153,-1.818846,0.2946525,-1.3779665,1.7818315,0.51943314,-1.554836,0.6881111,0.00014753337,-0.0022037025,-0.0063981786,0.0015397805,0.019619968,0.008431169,0.0036562765,0.0047911503,0.74562657,0.73511827,1000
1,0.008700992,0.006123022,0.0047343075,0.0009361878,-74.7415358647425,1,-74.7415358647425,-74.7415358647425,-74.7415358647425,0.0,-0.04355717469958751,-0.0747415358647425,-0.2154457740081064,0.03475180371336657,-5.1184626e-05,-5.1184626e-05,-5.1184626e-05,0.0,-0.05998223058949656,-0.05998223058949656,-0.05998223058949656,0.0,-0.00015141365,-0.00015141365,-0.00015141365,0.0,-0.21529436035517693,-0.21529436035517693,-0.21529436035517693,0.0,-4.482677e-05,-7.673569e-05,-0.00015141365,2.3465158e-05,-0.043504676719082515,-0.07466480017691475,-0.21529436035517693,0.03473644678715657,2,2000,1000,1000.0,1000,0.0,0.9749017,0.00015608215,-0.97554,0.5276812,-760.1740079699309,1,-760.1740079699309,-760.1740079699309,-760.1740079699309,0.0,-0.015815704867797594,-0.7601740079699323,-2.1502994005415204,0.5310485674383528,-0.29158,-0.29158,-0.29158,0.0,-0.17419342936630008,-0.17419342936630008,-0.17419342936630008,0.0,-0.92330277,-0.92330277,-0.92330277,0.0,-0.17980583329792363,-0.17980583329792363,-0.17980583329792363,0.0,-2.8398748e-07,-0.55689496,-1.9033566,0.52586234,-0.00829170716811723,-0.20327904240635514,-0.3980733517015343,0.0769633735354555,3,3000,1000,1000.0,1000,0.0,3000,0.006579799999997249,30.18674000000005,1.5050279999999958,3.9198809000000026,0.011598500000005174,24.743364500000055,0.00016949999999837928,73.11855680000001,0.00011879999999564461,0.7415675520896912,-0.9794818162918091,-1.0569671,-1.275979,-1.8364424,0.18527581,-3.3153396,3.6669822,1.7946596,0.34743953,0.6746637,2.9936488,1.7837461,0.35849988,0.6215964,2.9919105,1.7784586,0.38476315,0.6218976,0.16612136,0.16245621,2000
2,0.042835962,0.01599936,-0.0034732088,0.010254925,-173.1474142321257,1,-173.1474142321257,-173.1474142321257,-173.1474142321257,0.0,-0.03806125723840819,-0.17314741423212604,-0.29539946450711263,0.026583599428975344,-0.00063985516,-0.00063985516,-0.00063985516,0.0,-0.15909486929321293,-0.15909486929321293,-0.15909486929321293,0.0,-0.0036698373,-0.0036698373,-0.0036698373,0.0,-0.04460371798951412,-0.04460371798951412,-0.04460371798951412,0.0,-6.956669e-08,-0.00072228606,-0.0036698373,0.00071645743,-0.03534365843134151,-0.17242512819318617,-0.295117165471651,0.026662946586197278,3,3000,1000,1000.0,1000,0.0,0.9720032,-0.0053947857,-0.97557783,0.4956017,-670.3040212712953,1,-670.3040212712953,-670.3040212712953,-670.3040212712953,0.0,-0.014256651607899073,-0.6703040212712954,-2.2156682883742804,0.4860098938308684,-0.0015677793,-0.0015677793,-0.0015677793,0.0,-0.145557866717668,-0.145557866717668,-0.145557866717668,0.0,-0.06366153,-0.06366153,-0.06366153,0.0,-0.256632923690641,-0.256632923690641,-0.256632923690641,0.0,-1.8541734e-06,-0.49130028,-1.9035043,0.48155597,-0.010215033805127177,-0.17900371954670408,-0.34250730415755043,0.07377088694874367,4,4000,1000,1000.0,1000,0.0,4000,0.008479300000004741,29.879437900000013,1.417650199999997,3.8101245000000006,0.008560000000002788,24.63433400000001,0.00017390000000716554,104.91099340000001,0.00011599999999134525,0.5504792928695679,-1.9442815780639648,-0.91773903,-1.2569389,-2.8337696,0.3371919,-4.243222,5.5458446,3.2401533,0.7484615,0.88262993,4.4210424,3.251988,1.3083526,0.68140805,4.4640546,3.2672868,1.3094877,0.6854569,0.17448622,0.17586666,3000
3,0.06554941,0.025483165,0.011249851,0.011354063,-132.2065672727822,1,-132.2065672727822,-132.2065672727822,-132.2065672727822,0.0,-0.10721895731349594,-0.1322065672727823,-0.2980541021012606,0.025999320201630472,-0.00026732063,-0.00026732063,-0.00026732063,0.0,-0.11047536729221216,-0.11047536729221216,-0.11047536729221216,0.0,-0.008593441,-0.008593441,-0.008593441,0.0,-0.16705602898123456,-0.16705602898123456,-0.16705602898123456,0.0,-0.0002531205,-0.0015566131,-0.008593441,0.0013283626,-0.10655758481535248,-0.13064995424409254,-0.2938190081537606,0.025091158388184175,4,4000,1000,1000.0,1000,0.0,0.9836062,0.027250594,-0.96974343,0.4704755,-645.1542643259914,1,-645.1542643259914,-645.1542643259914,-645.1542643259914,0.0,-0.03939509370772957,-0.645154264325992,-2.230939961285015,0.4589825744176476,-0.11883717,-0.11883717,-0.11883717,0.0,-0.1623337314863498,-0.1623337314863498,-0.1623337314863498,0.0,-0.993261,-0.993261,-0.993261,0.0,-0.07144808511724063,-0.07144808511724063,-0.07144808511724063,0.0,-4.220584e-06,-0.4441796,-1.9349624,0.44803154,-0.008307897506486087,-0.20097467540733419,-0.40106662640070917,0.08555235275302385,5,5000,1000,1000.0,1000,0.0,5000,0.006049899999993613,30.28590419999962,1.4682088999999934,3.9855957999999987,0.014346100000011575,24.811359299999623,0.00020190000000752661,137.10698629999916,0.00014229999999315623,0.4092691242694855,-2.889068603515625,-0.86508465,-1.2338544,-2.559695,0.34629342,-4.5230827,6.4646506,3.663788,1.0860517,0.96959716,5.276029,3.7252731,1.620844,0.87412256,5.290095,3.7291808,1.6045781,0.87345594,0.18573403,0.1832139,4000
4,0.0685683,0.0007499812,-0.011839705,0.007334435,-202.94962066903696,1,-202.94962066903696,-202.94962066903696,-202.94962066903696,0.0,-0.06245464404709745,-0.20294962066903688,-0.4073738043272316,0.03010065953574555,-0.0,0.0,-0.0,0.0,-0.20150494045304082,-0.20150494045304082,-0.20150494045304082,0.0,-0.009403237,-0.009403237,-0.009403237,0.0,-0.3979705671855628,-0.3979705671855628,-0.3979705671855628,0.0,-0.0,-0.00010871281,-0.009403237,0.00073532376,-0.06245426373722674,-0.20284090785308603,-0.3979705671855628,0.029515976941283214,5,5000,1000,1000.0,1000,0.0,0.9756929,-0.011621661,-0.9640173,0.4422309,-569.1828612581819,1,-569.1828612581819,-569.1828612581819,-569.1828612581819,0.0,-0.03585512358710501,-0.5691828612581826,-2.1073753304582747,0.40642071555833303,-1.2111512,-1.2111512,-1.2111512,0.0,-0.22707585285394755,-0.22707585285394755,-0.22707585285394755,0.0,-0.43974888,-0.43974888,-0.43974888,0.0,-0.10222966075860339,-0.10222966075860339,-0.10222966075860339,0.0,-6.856121e-07,-0.3914065,-1.9039536,0.40095294,-0.0149264994322015,-0.17777637743116606,-0.3330764427871518,0.07887528634002228,6,6000,1000,1000.0,1000,0.0,6000,0.00548759999998083,30.524103599999677,1.5822249,3.7636348000000055,0.007724499999994805,25.16487199999969,9.90999999999076e-05,169.55650379999884,6.0700000005908805e-05,0.30521881580352783,-3.6705260276794434,-0.6027925,-1.0929843,-3.6927624,0.5439993,-3.8512714,5.4866138,3.0429673,0.96540666,0.93277055,4.6423473,3.0614676,1.2026004,0.8990413,4.5831814,3.052835,1.162374,0.8933106,0.15707645,0.15181664,5000
5,0.067114234,0.0006526311,-0.0067438046,0.005678346,-169.10224151399296,1,-169.10224151399296,-169.10224151399296,-169.10224151399296,0.0,-0.15750804734180937,-0.16910224151399297,-0.33188170206023515,0.029579783662246666,-0.0,0.0,-0.0,0.0,-0.16181116637892556,-0.16181116637892556,-0.16181116637892556,0.0,-0.00900864,-0.00900864,-0.00900864,0.0,-0.1651495013163077,-0.1651495013163077,-0.1651495013163077,0.0,-0.0,-6.53391e-05,-0.00900864,0.0005365305,-0.15747994477489163,-0.16903690241528171,-0.33183844159913733,0.029523545011924546,6,6000,1000,1000.0,1000,0.0,0.9418546,0.008713357,-0.94284505,0.41517678,-463.9629072878531,1,-463.9629072878531,-463.9629072878531,-463.9629072878531,0.0,-0.009323206231443101,-0.4639629072878528,-1.915019252757688,0.3814006598895645,-0.16104253,-0.16104253,-0.16104253,0.0,-0.17032126657358626,-0.17032126657358626,-0.17032126657358626,0.0,-0.0024318378,-0.0024318378,-0.0024318378,0.0,-0.19397174854337157,-0.19397174854337157,-0.19397174854337157,0.0,-3.9056684e-07,-0.3448954,-1.7779136,0.37491426,-0.0017922944897840818,-0.11906753983715465,-0.23732796663011507,0.06713551958102831,7,7000,1000,1000.0,1000,0.0,7000,0.007753099999973756,30.199406300000163,1.4409802000000127,3.7242866999999933,0.007824800000008736,25.018190600000167,0.00021300000000223918,201.6927799999993,0.0001579000000049291,0.2285851091146469,-4.410824775695801,-0.38693836,-0.98867404,-2.8995588,0.5546166,-3.097027,4.86561,2.485001,0.5204886,0.8231726,4.367857,2.415793,0.6252325,0.7710474,4.3467364,2.4158149,0.63529295,0.78016317,0.0598782,0.059539776,6000
6,0.077637695,0.01390053,-0.023737753,0.022899576,-133.10207886273858,1,-133.10207886273858,-133.10207886273858,-133.10207886273858,0.0,-0.018723327391953218,-0.1331020788627385,-0.33375809716137894,0.06286140745216443,-0.0017100682,-0.0017100682,-0.0017100682,0.0,-0.07462566651857021,-0.07462566651857021,-0.07462566651857021,0.0,-0.0017013787,-0.0017013787,-0.0017013787,0.0,-0.33205671843218454,-0.33205671843218454,-0.33205671843218454,0.0,-6.2676264e-10,-0.0014352307,-0.012055216,0.0023506335,-0.015451639848933564,-0.1316668482160322,-0.332060240833593,0.06317514507549164,7,7000,1000,1000.0,1000,0.0,0.90595543,-0.003844553,-0.87539494,0.35118294,-382.30228015040484,1,-382.30228015040484,-382.30228015040484,-382.30228015040484,0.0,-0.027393045783408274,-0.3823022801504046,-1.7941535230701753,0.2975000224539798,-0.38318977,-0.38318977,-0.38318977,0.0,-0.009004235649622558,-0.009004235649622558,-0.009004235649622558,0.0,-0.0006537208,-0.0006537208,-0.0006537208,0.0,-0.2120768219214155,-0.2120768219214155,-0.2120768219214155,0.0,-6.183498e-08,-0.24668846,-1.6415105,0.29190582,-0.00317535670569365,-0.13561382070726044,-0.2461445839224899,0.064988912722379,8,8000,1000,1000.0,1000,0.0,8000,0.009708999999986645,30.48171110000007,1.4649301999999977,3.982604899999984,0.011312800000013112,25.01283630000009,0.00018430000000080327,234.0882755999993,0.0001335999999980686,0.17212456464767456,-5.0572123527526855,0.04431317,-0.87417257,-3.3353596,0.7618199,-2.118796,3.7427661,1.509084,-1.5394236,1.0535512,3.6313815,1.5504131,-1.0966107,1.0237705,3.7255063,1.5633146,-0.9574628,1.0240394,0.066310905,0.06267199,7000
7,0.007784572,-1.2354827e-05,-0.017722124,0.0013009132,-236.462464593077,1,-236.462464593077,-236.462464593077,-236.462464593077,0.0,-0.2344593444615574,-0.23646246459307715,-0.23748088376630005,0.00019492402997083936,-0.0,0.0,-0.0,0.0,-0.23646883697870238,-0.23646883697870238,-0.23646883697870238,0.0,-0.0006281478,-0.0006281478,-0.0006281478,0.0,-0.23395608421051592,-0.23395608421051592,-0.23395608421051592,0.0,-0.0,-3.385061e-06,-0.0006281478,3.0932533e-05,-0.23395608421051592,-0.23645907953197076,-0.23738480106804602,0.00021209846267847653,8,8000,1000,1000.0,1000,0.0,0.75263727,-0.045880884,-0.77679044,0.30242404,-352.6768947700875,1,-352.6768947700875,-352.6768947700875,-352.6768947700875,0.0,-0.06929104815585115,-0.3526768947700873,-1.3266462735336062,0.22173482918784204,-0.012940435,-0.012940435,-0.012940435,0.0,-0.11305344237538602,-0.11305344237538602,-0.11305344237538602,0.0,-0.036962908,-0.036962908,-0.036962908,0.0,-0.3347540164999185,-0.3347540164999185,-0.3347540164999185,0.0,-4.3074377e-07,-0.1871307,-1.2068068,0.21620907,-0.02586580259080272,-0.16554617619022452,-0.3456035352862115,0.05834156255408209,9,9000,1000,1000.0,1000,0.0,9000,0.006742399999978943,30.856730299998844,1.431935100000004,3.682536699999986,0.009065399999997226,25.72613999999888,0.0001775999999722444,266.8869943999976,0.00013310000002775269,0.1303928643465042,-4.743880271911621,0.5091529,-0.3286238,-4.1543717,0.725865,-0.9630536,2.8974502,0.4545015,-2.8369637,1.2309812,2.6630268,0.5252968,-2.445294,1.2359316,2.573197,0.50227296,-2.535873,1.2310439,0.044316474,0.04106415,8000
8,0.10937933,-0.05357467,-0.23531887,0.0685481,-158.20789698929013,1,-158.20789698929013,-158.20789698929013,-158.20789698929013,0.0,-0.13023433217747515,-0.1582078969892898,-0.36617807163591604,0.01823450292246588,-0.02945925,-0.02945925,-0.02945925,0.0,-0.1397592545834948,-0.1397592545834948,-0.1397592545834948,0.0,-0.11074997,-0.11074997,-0.11074997,0.0,-0.25542810423965673,-0.25542810423965673,-0.25542810423965673,0.0,-1.7679658e-06,-0.015138174,-0.11074997,0.015576352,-0.044556104931667506,-0.14306972367988555,-0.25542810423965673,0.01908842140914106,9,9000,1000,1000.0,1000,0.0,0.82406455,-0.0646127,-0.795261,0.2934822,-279.2111174535436,1,-279.2111174535436,-279.2111174535436,-279.2111174535436,0.0,-0.007880315781271803,-0.2792111174535435,-1.517258467451734,0.2247951864440947,-0.105345584,-0.105345584,-0.105345584,0.0,-0.08116398847609206,-0.08116398847609206,-0.08116398847609206,0.0,-0.0011513638,-0.0011513638,-0.0011513638,0.0,-0.22539662829590382,-0.22539662829590382,-0.22539662829590382,0.0,-4.832873e-08,-0.18061325,-1.3581645,0.21662854,-0.00782345548218933,-0.09859787416173568,-0.27898620765977344,0.037357798081133826,10,10000,1000,1000.0,1000,0.0,10000,0.006887800000015432,30.543097299999317,1.5110756000000265,3.59449189999998,0.011582700000019486,25.41888639999928,0.00010570000000598156,299.37452909999723,6.719999998949788e-05,0.09940854460000992,-5.270383358001709,0.62021637,-0.28301683,-3.59182,0.9837388,0.14108187,2.1462507,-0.47740078,-3.0203347,1.1116793,1.862681,-0.53739405,-3.0774238,1.1231372,1.9499637,-0.5308454,-2.9159293,1.1219106,0.03852592,0.038530968,9000
9,0.009558202,3.43246e-06,-0.007483594,0.0011803514,-237.54288073808343,1,-237.54288073808343,-237.54288073808343,-237.54288073808343,0.0,-0.23493991035157108,-0.23754288073808355,-0.2411838648199081,0.0004362880865906108,-7.1054274e-15,-7.1054274e-15,-7.1054274e-15,0.0,-0.23753673450569585,-0.23753673450569585,-0.23753673450569585,0.0,-0.0001827184,-0.0001827184,-0.0001827184,0.0,-0.24100114641755127,-0.24100114641755127,-0.24100114641755127,0.0,-0.0,-2.7864787e-06,-0.0001827184,1.3654666e-05,-0.23483553388014428,-0.23754009425962536,-0.24100114641755127,0.00043444471183435966,10,10000,1000,1000.0,1000,0.0,0.7689245,-0.08840572,-0.7600703,0.2610404,-302.1697007068908,1,-302.1697007068908,-302.1697007068908,-302.1697007068908,0.0,-0.038501379823388276,-0.30216970070689075,-1.3412573139710318,0.19062682411598805,-0.102127604,-0.102127604,-0.102127604,0.0,-0.18302246224942711,-0.18302246224942711,-0.18302246224942711,0.0,-0.59534246,-0.59534246,-0.59534246,0.0,-0.3481039941736745,-0.3481039941736745,-0.3481039941736745,0.0,-3.1120297e-07,-0.15191534,-1.1824898,0.18164775,-0.03846295482547765,-0.15025437119118795,-0.3487181232246855,0.03649744007869713,11,11000,1000,1000.0,1000,0.0,11000,0.00927489999997988,29.92288970000078,1.477098700000056,3.670184500000005,0.009277899999972306,24.756787900000745,0.00016680000004498652,331.2372903999982,9.89999999774227e-05,0.07626187056303024,-4.964625358581543,1.8674798,0.07092789,-4.345705,0.96115535,1.1700712,0.64678097,-1.5234908,-4.2349234,1.0379199,0.57568806,-1.5501419,-3.96268,1.0481788,0.5495614,-1.5260451,-3.9940164,1.0478233,0.03236174,0.030073993,10000
