Epoch,evaluation/Actions Max,evaluation/Actions Mean,evaluation/Actions Min,evaluation/Actions Std,evaluation/Average Returns,evaluation/Num Paths,evaluation/Returns Max,evaluation/Returns Mean,evaluation/Returns Min,evaluation/Returns Std,evaluation/Rewards Max,evaluation/Rewards Mean,evaluation/Rewards Min,evaluation/Rewards Std,evaluation/env_infos/final/x_position Max,evaluation/env_infos/final/x_position Mean,evaluation/env_infos/final/x_position Min,evaluation/env_infos/final/x_position Std,evaluation/env_infos/final/x_velocity Max,evaluation/env_infos/final/x_velocity Mean,evaluation/env_infos/final/x_velocity Min,evaluation/env_infos/final/x_velocity Std,evaluation/env_infos/initial/x_position Max,evaluation/env_infos/initial/x_position Mean,evaluation/env_infos/initial/x_position Min,evaluation/env_infos/initial/x_position Std,evaluation/env_infos/initial/x_velocity Max,evaluation/env_infos/initial/x_velocity Mean,evaluation/env_infos/initial/x_velocity Min,evaluation/env_infos/initial/x_velocity Std,evaluation/env_infos/x_position Max,evaluation/env_infos/x_position Mean,evaluation/env_infos/x_position Min,evaluation/env_infos/x_position Std,evaluation/env_infos/x_velocity Max,evaluation/env_infos/x_velocity Mean,evaluation/env_infos/x_velocity Min,evaluation/env_infos/x_velocity Std,evaluation/num paths total,evaluation/num steps total,evaluation/path length Max,evaluation/path length Mean,evaluation/path length Min,evaluation/path length Std,exploration/Actions Max,exploration/Actions Mean,exploration/Actions Min,exploration/Actions Std,exploration/Average Returns,exploration/Num Paths,exploration/Returns Max,exploration/Returns Mean,exploration/Returns Min,exploration/Returns Std,exploration/Rewards Max,exploration/Rewards Mean,exploration/Rewards Min,exploration/Rewards Std,exploration/env_infos/final/x_position Max,exploration/env_infos/final/x_position Mean,exploration/env_infos/final/x_position Min,exploration/env_infos/final/x_position Std,exploration/env_infos/final/x_velocity Max,exploration/env_infos/final/x_velocity Mean,exploration/env_infos/final/x_velocity Min,exploration/env_infos/final/x_velocity Std,exploration/env_infos/initial/x_position Max,exploration/env_infos/initial/x_position Mean,exploration/env_infos/initial/x_position Min,exploration/env_infos/initial/x_position Std,exploration/env_infos/initial/x_velocity Max,exploration/env_infos/initial/x_velocity Mean,exploration/env_infos/initial/x_velocity Min,exploration/env_infos/initial/x_velocity Std,exploration/env_infos/x_position Max,exploration/env_infos/x_position Mean,exploration/env_infos/x_position Min,exploration/env_infos/x_position Std,exploration/env_infos/x_velocity Max,exploration/env_infos/x_velocity Mean,exploration/env_infos/x_velocity Min,exploration/env_infos/x_velocity Std,exploration/num paths total,exploration/num steps total,exploration/path length Max,exploration/path length Mean,exploration/path length Min,exploration/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/sac training (s),time/saving (s),time/total (s),time/training (s),trainer/Alpha,trainer/Alpha Loss,trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/num train calls
0,0.002730786,0.0012902493,0.00068140525,0.00046210448,155.48501648371465,4,247.0701232106929,155.48501648371465,121.04904824431802,52.97184609432759,1.2522478477454555,0.6602336156421001,-1.1928351181501473,0.5988095389641673,0.13696923869554853,-0.6398890118738552,-0.9004935241775474,0.4485213701637192,-0.05459835976228539,-1.656951460913136,-2.192835079025457,0.9251213272579248,0.0037888249886775228,0.0002013888302823414,-0.003696572460332799,0.0026510381621703636,-0.001359843886576163,-0.0036807742585266297,-0.006440670762935097,0.001895453330394907,0.1500407351824747,-0.10626742021941585,-0.9004935241775474,0.21601231148007385,0.25224786120490483,-0.33976637308821955,-2.192835079025457,0.5988095319836323,4,942,242,235.5,230,4.5,0.99776286,0.024071964,-0.9963372,0.63126445,15.973300961823508,34,83.35063640997258,15.973300961823508,-4.901042989254394,21.58716329930349,3.6836732759704693,0.5430922327019994,-1.876574145989425,0.8962678794066047,0.20894012526556124,-0.1066372598590377,-0.29363654313691245,0.08006805916501669,2.683754466869484,-1.3964588493585486,-2.5521977002257445,0.8931134365049131,0.005322406458119997,-0.0005560311147745983,-0.00642030619319863,0.0031389197109940835,0.18506109990784284,-0.10788527842061535,-0.48196027740037517,0.22247606200301176,0.20894012526556124,-0.03164016790805832,-0.29363654313691245,0.06022337481004258,2.683754466869484,-0.454513321629419,-2.870685320096023,0.8961466817561348,72,2000,74,29.41176470588235,8,17.906813765680212,2000,0.011607399999999046,30.132647700000074,1.9239251999999993,4.2059499,0.007346400000002973,23.983643300000068,0.00011080000000163182,39.40228070000012,6.47000000029152e-05,1.0,-0.0,-3.0837414,-3.9382684,-4.944387,0.46484637,-3.9308171,7.9627943,4.4080014,-0.2433753,1.3498439,0.012869492,0.0021153172,-0.011785947,0.0075102914,0.0013457898,-0.007603873,-0.01687916,0.004944001,21.22111,21.312277,1000
1,0.115680456,0.0795604,0.03517654,0.019470243,261.6321491514928,7,275.70807838759976,261.6321491514928,247.29675803121378,9.32437189264815,3.513672817090781,1.840628184985376,1.0017320267821792,0.7351514773093343,0.9781486222691145,0.956173428219161,0.9345470263952586,0.016490375860426603,2.5136809767440647,2.510468076314361,2.5074631035281043,0.0022194829858650056,0.00503516485831398,0.0004757100774073828,-0.0047037883938368125,0.003510296490250238,0.05932519954869711,0.03279901448280851,0.00995122475678221,0.017008224902978937,0.9781486222691145,0.2532242555619825,-0.0047037883938368125,0.2665797989852183,2.5136809767440647,0.8406684386687578,0.0017943314801101284,0.7351353600557766,11,1937,154,142.14285714285714,130,7.80894306783797,0.9942727,0.05001832,-0.99250895,0.58368325,34.77451134085942,26,285.53161155834823,34.77451134085942,-3.2916847776282525,60.705195422098456,5.062019438543756,0.9041372948623451,-1.322044736824979,1.0150549719857622,1.1663192377962903,-0.028413806168314404,-0.28282719618564467,0.26463772372588873,3.7357390677721645,-0.9566104595198923,-2.1190973082069986,1.0751697026934757,0.005340919673468247,-0.00042518570981409283,-0.006190736731173632,0.003357761881924718,0.20451869762564973,-0.10925233743942066,-0.4481149039006323,0.22625780528458078,1.1663192377962903,0.03796493510460226,-0.28282719618564467,0.19309164121605138,4.062182649472196,-0.09380357726355099,-2.320655659280767,1.0150802556272733,98,3000,140,38.46153846153846,5,32.19678766732288,3000,0.005047100000005855,26.24002109999992,1.4346033000000062,3.0182876000000007,0.011128200000001698,21.77058549999991,0.00019000000000346517,67.0652482,0.00017939999999327938,0.7426868677139282,-2.909219980239868,-2.0295482,-3.7795215,-5.7187214,0.7754443,-19.294632,28.746689,16.352978,-1.0490632,5.0263977,27.394363,15.944165,0.33744866,5.1073036,27.544376,15.943121,0.73393553,5.080502,1.590752,1.6514363,2000
2,0.29821503,0.08257583,-0.48343033,0.10286983,220.98187154483816,7,222.4661150873111,220.98187154483816,218.17719014480787,1.5063741651934928,2.7406637792587683,1.6130063616411539,0.23531206638715052,0.7382171644860138,0.6792939955210238,0.6718764902086317,0.6574923730601041,0.006792590844289926,1.740669013091403,1.7289182379338432,1.7010955926993059,0.01280527089437909,0.002911509774368896,-0.0020521000431040263,-0.004992875876411296,0.0023603114523394328,-0.2341090520887047,-0.24489864004042694,-0.2569564729922063,0.007324333219970062,0.6792939955210238,0.11754171398358707,-0.11610490746686068,0.23635499830398524,1.740669013091403,0.6131107674556681,-0.764685667147396,0.7381886426438654,18,2896,139,137.0,135,1.1952286093343936,0.99763036,0.03257787,-0.9910242,0.59234494,62.73311357413305,13,290.3699640148943,62.73311357413305,-15.273276040443585,96.34222758598105,4.522909938386188,0.8155304764637299,-1.9814330880920576,1.0091050684246845,1.0888328206650504,-0.11240914308353998,-0.8469016348016952,0.4169932554251785,2.6004620561135283,-1.1429831821726855,-2.648646549323074,1.286924937115458,0.005091277809439264,-0.0015765655438102007,-0.007832363405228544,0.0031841858989261965,0.15407796355616826,-0.17346013329669072,-0.41641477140386945,0.19487895990456222,1.0888328206650504,-0.068278292565794,-0.8469016348016952,0.25455462127197626,3.527148483327136,-0.18235792023491795,-2.9784388160984205,1.0091292069403672,111,4000,276,76.92307692307692,14,71.02703877176911,4000,0.006428900000003068,26.4620915000001,1.4126553999999913,3.030163799999997,0.009821400000006975,22.00284950000011,0.00010379999999088341,94.96172110000023,6.86999999999216e-05,0.5594903826713562,-5.100899696350098,4.8013453,-2.7836146,-5.512663,2.0027146,-33.444416,57.23409,29.591644,-0.28345862,8.84731,54.505287,29.629406,6.062605,7.792425,55.375008,29.809216,6.5356717,7.8913336,11.072283,11.738478,3000
3,0.3810831,-0.031521827,-0.77995133,0.33421198,-1.6458216456098753,76,-0.7704731529787326,-1.6458216456098753,-2.3069818615147315,0.2641054952231576,0.6287885721541905,-0.12647365527436857,-0.912711742487033,0.5193393121683295,-0.11013236624596184,-0.11713975100735513,-0.12335708673682236,0.0032934542784712633,-0.40064428274418085,-0.44246267929347916,-0.49701160324255345,0.01819391796076077,0.0017573524580449622,-0.003077307803354314,-0.007993649951535935,0.0029072319474626675,-0.3675720802925564,-0.3923753248401675,-0.4115989935973759,0.01096339998047195,0.0017573524580449622,-0.07012494622914137,-0.12335708673682236,0.038744908849142924,-0.3675720802925564,-1.1257975077106779,-1.9126557787584562,0.5196989416340456,94,3885,14,13.013157894736842,12,0.3802153493894707,0.98608375,-0.04125887,-0.99603254,0.60484153,0.6511045123890004,46,30.111139167536752,0.6511045123890004,-6.408093045144429,7.799249934389609,2.245652960094158,0.029950807569894045,-1.9528925802596886,0.6970669374369732,-0.10335977703298882,-0.16785079579359694,-0.5189808897318783,0.10695530525997063,-0.4206908853818161,-1.129873160363268,-1.9153420631992726,0.3695649966827398,0.003492172613657185,-0.0021463642539959918,-0.007894555547684232,0.003072050094839926,0.08157147726472021,-0.32703255086120353,-0.5019633682564445,0.1569246637224045,0.003492172613657185,-0.12042127608039269,-0.5189808897318783,0.09899156480366544,1.2456555156977849,-0.9678439786923207,-2.949948650349029,0.6968682555512442,157,5000,79,21.73913043478261,7,19.08953137034821,5000,0.005734000000003903,26.70472539999986,1.409954600000006,3.0884451999999953,0.02685899999997332,22.173263199999894,0.0002408999999943262,123.08958380000023,0.00022849999999152715,0.4237186312675476,-6.659693717956543,8.77557,-1.7556823,-6.2669706,2.7183783,-43.753586,61.74054,40.286102,-0.9831226,11.59312,58.76963,40.22291,-3.2786207,9.222059,60.24733,40.52778,0.023303522,9.14462,41.5851,42.270447,4000
4,0.7763673,-0.08185082,-0.8756715,0.58297116,-4.205518905541695,90,-3.9797546764333482,-4.205518905541695,-4.412750987624238,0.0870689030018016,0.5792444300515218,-0.38231990050379044,-1.646968325888084,0.7379273560134327,-0.11571551602393965,-0.12111372984887725,-0.12643361781585916,0.0029971383499870653,-0.6893408425995856,-0.702614394884087,-0.7130863650540563,0.004936262056669958,0.0013474465824371488,-0.0031981173222757867,-0.00834094430893488,0.002884578757972928,-0.4161592259543375,-0.4431947152566534,-0.4622128735372999,0.010703091842526626,0.0013474465824371488,-0.07311036247758305,-0.12643361781585916,0.04032899589063598,-0.4161592259543375,-1.3802405710074395,-2.645354634558128,0.7379967879730595,184,4875,11,11.0,11,0.0,0.98922586,-0.10747269,-0.991712,0.68130934,-4.389407348297484,97,7.356862319160493,-4.389407348297484,-7.686199079947285,2.1244990240338186,1.066181739811897,-0.4257725127848559,-2.2663690946581845,0.7450979641115646,-0.0977068964571196,-0.11705705677989861,-0.2332570715111257,0.014740772691563247,-0.47238526272128795,-1.017702667504824,-2.7299427196345074,0.3919300783474875,0.0021644972120893973,-0.0029916614737144336,-0.008847639762607147,0.002948402807636647,0.06643800363421407,-0.41108451417787867,-0.5118775873096297,0.10380418751275389,0.0021644972120893973,-0.068241919829859,-0.2332570715111257,0.04360475571535076,0.06643800363421407,-1.4229181159627375,-3.2605647538187985,0.7452403360130927,254,6000,36,10.309278350515465,6,3.605153312559269,6000,0.007273499999996602,26.218195499999723,1.4620376000000022,3.0494879000000026,0.012386600000013459,21.68679109999971,0.00014239999998721942,150.71385549999974,7.640000001174485e-05,0.32634425163269043,-7.662113189697266,9.890369,-0.8423794,-7.006156,3.0997896,-54.88999,79.28403,49.904007,0.121498115,13.481988,81.30451,51.775543,23.292114,10.227466,82.50406,52.13395,23.613977,10.380049,71.38377,75.216415,5000
5,0.83109796,-0.054686993,-0.87249696,0.7494482,-3.815807673160865,81,-3.384844856123828,-3.815807673160865,-4.0634414704366115,0.17360372725576156,0.5795087459330044,-0.31157300557059486,-1.7749666896302296,0.7440007068498445,-0.12156601412562351,-0.12871365395954354,-0.13697206809258447,0.004086770059651985,-0.7728485234449571,-0.8064300199203253,-0.8459834582592064,0.023757584257955617,0.0011141398697308673,-0.004068450886391813,-0.008489239582100093,0.0027644212483020295,-0.4159255406613864,-0.44057857391619926,-0.45968726342705857,0.011416343184742026,0.0011141398697308673,-0.07931445176504691,-0.13697206809258447,0.04094801766735859,-0.4159255406613864,-1.3081850258093484,-2.7728716197449756,0.744357032036136,265,5867,13,12.246913580246913,12,0.43121602954501187,0.9973239,-0.078824334,-0.9971959,0.7412717,-4.244527294175418,89,-1.3236919241490512,-4.244527294175418,-6.935459083395104,1.3440214752811879,1.0969595331310664,-0.3777629291816122,-2.195316892733561,0.7754313516816526,-0.06639936917092523,-0.12336303049688023,-0.14534637251020505,0.011144166409652299,-0.5610641152954867,-0.8756938074048277,-2.467367481314058,0.26650616982406067,0.0031821531197820303,-0.0030529559199318,-0.00868773426725836,0.002995841924182801,-0.06767908388993905,-0.40426031085096487,-0.5096940875764433,0.11363871085533507,0.0031821531197820303,-0.07417361253102656,-0.14534637251020505,0.04215947529896759,0.09905618349308111,-1.374428747334287,-3.189790637602793,0.7755269805736991,343,7000,16,11.235955056179776,5,2.351296424184868,7000,0.00753309999998919,26.687142400000113,1.4175374000000147,3.0014104999999915,0.013941599999981236,22.246459900000133,0.00014999999999076863,178.81391450000012,0.00010990000001243061,0.26243579387664795,-5.308135509490967,11.538374,2.0320387,-4.1821404,3.7506506,-61.41492,87.907486,57.823433,-0.23293464,14.393549,78.5901,56.472214,24.24623,13.328762,77.11657,56.634647,24.18942,13.127871,53.90029,52.82898,6000
6,0.90146875,-0.050958935,-0.92879236,0.85634416,-6.365321185288509,125,-6.197485676912388,-6.365321185288509,-6.611864462191205,0.062238035226281956,0.5572911660850859,-0.7964616097708347,-2.1384057055629264,0.897418937230713,-0.1054615546602651,-0.1147128294209329,-0.11996927808669232,0.0030300768592693306,-0.761890722396576,-0.7875900096430407,-1.3051980630840472,0.04746685017930818,0.001273496460076172,-0.0038477807637474085,-0.008447508420561266,0.00292383974579042,-0.4376862942992829,-0.46390116566511813,-0.4822070495600812,0.010568706114272573,0.001273496460076172,-0.0645562541215134,-0.11996927808669232,0.04030424400172598,-0.4376862942992829,-1.792046077053717,-3.1338532339252008,0.8975685901542141,390,6866,8,7.992,7,0.08908422980528033,0.9958989,-0.14171433,-0.99729407,0.8043682,-6.2936174786506305,124,-4.2440386683631495,-6.2936174786506305,-7.64465563123827,0.6875452706984577,0.9307469550001595,-0.7804085673526783,-2.3088314895326345,0.875871089613038,-0.10276989157688392,-0.11437160999518235,-0.1352752498414577,0.005506084554068951,-0.6571479053498527,-1.1302005100748966,-2.37452281377493,0.33091542973477966,0.002326220993256808,-0.0032270162639494353,-0.00872907171100207,0.002758054021206703,-0.06911349969327722,-0.4327807852857966,-0.5146468638801637,0.06707412354118664,0.002326220993256808,-0.06317917960074663,-0.1352752498414577,0.040540607825918985,-0.06911349969327722,-1.7764060202095493,-3.3030824980432243,0.8760568527115024,467,8000,12,8.064516129032258,6,1.2164327506428902,8000,0.007062400000023672,26.97961520000041,1.5168381999999951,3.2490999999999985,0.011783500000007052,22.19453710000036,0.00017950000000155342,207.23036170000069,0.0001145000000235541,0.22404493391513824,-4.7164812088012695,9.519062,2.8470793,-4.644574,3.2579215,-80.84624,134.85793,70.310936,-0.101948254,20.897362,132.51497,72.74359,29.50537,17.112385,131.8098,72.06628,27.156853,17.503973,112.83899,107.801315,7000
7,0.9758756,-0.1208999,-0.94587135,0.88158566,-5.762085420040256,108,-5.4134431116281805,-5.762085420040256,-5.998315590409411,0.1294085565739392,0.5478488148036451,-0.6273238158914793,-2.1653999373866957,0.9128557126975546,-0.11263920341466721,-0.11925199075572508,-0.12893204151881402,0.0037218089808797876,-0.7380890494686956,-0.8154519449825849,-0.8852314684653656,0.035162769147404016,0.0011259930349383856,-0.0037968074161158966,-0.008816766397582405,0.0031162799528265,-0.4469156600651293,-0.4717351555710089,-0.49275380989067197,0.011714029966859892,0.0011259930349383856,-0.07106343325133038,-0.12893204151881402,0.04110544175962925,-0.4469156600651293,-1.6225729555306379,-3.1610441100551525,0.9125818644859865,498,7858,10,9.185185185185185,9,0.38844772154450047,0.9962854,-0.079075135,-0.9972368,0.8633734,-5.500370245196446,104,-3.499253364873732,-5.500370245196446,-6.957263225939127,0.729039210391971,0.8547753780127344,-0.5720385055004303,-2.2970559202348046,0.8879909413023089,-0.10386758983942716,-0.1208472755133443,-0.1437100972460557,0.007143828690797906,-0.5970276976657602,-0.8191796731896771,-1.8565527881987138,0.20298875635971556,0.0036123378717994427,-0.003897098051910371,-0.00908468867670792,0.003123699577811193,-0.14474455914489648,-0.4536173038552071,-0.5177515343403345,0.06377128140393651,0.0036123378717994427,-0.0725700047214952,-0.1437100972460557,0.04179210865423799,-0.14474455914489648,-1.5675285065995828,-3.29156034909833,0.8880508911223941,571,9000,14,9.615384615384615,7,1.4761416201842683,9000,0.006788200000016786,27.314387299999595,1.5276468000000136,3.386846300000002,0.010628400000001648,22.38222929999958,0.0001462999999830572,235.9834198000001,0.00010199999999827014,0.21472704410552979,1.733898639678955,18.04401,7.127088,-2.846552,5.408163,-91.73071,158.58383,81.18329,-1.1191027,35.30083,155.13385,83.03948,-6.396084,30.93383,158.7093,82.3232,0.023188163,30.923637,203.94833,201.54222,8000
8,0.98516774,-0.13090524,-0.9350885,0.8919443,-5.362893348782646,100,-5.231434089626381,-5.362893348782646,-5.524953755230525,0.06958332153297803,0.5491469490287108,-0.5362893348782649,-2.04560023506454,0.8292136458322854,-0.11720781152258311,-0.12235509446728905,-0.12827765123129334,0.002745281483605608,-0.788837834513249,-0.8341104125384406,-0.8588760767753133,0.01244853137966947,0.0008312598753502588,-0.0036358321220330524,-0.008814509052902098,0.002743146438861598,-0.4456307733299929,-0.47422350702592836,-0.4928209702062463,0.012073053738498304,0.0008312598753502588,-0.07331584061190058,-0.12827765123129334,0.04079712558434975,-0.4456307733299929,-1.5314131300182927,-3.0431135872202257,0.8295893162353702,598,8858,10,10.0,10,0.0,0.99881357,-0.08292648,-0.996475,0.8469999,-5.0989936904964015,98,-3.04426813337721,-5.0989936904964015,-6.97706936225454,0.6996052399412117,0.7877785821568672,-0.4997013816686473,-2.300912939832191,0.8190654118536913,-0.07827592106196962,-0.12208450347419297,-0.13928898580082938,0.007018327983914818,-0.5990411476839725,-0.8388764879844534,-2.6960549215462954,0.21972662950898755,0.002167065874482215,-0.0036417929830035592,-0.008989211823331612,0.0030514534596061565,-0.21112875658157432,-0.4533924967286029,-0.5160994189693582,0.05315381232865975,0.002167065874482215,-0.07351874686693316,-0.13928898580082938,0.041223342520387854,-0.21112875658157432,-1.4953556681964733,-3.2958091314291758,0.8192695393817866,669,10000,14,10.204081632653061,5,1.347402517570944,10000,0.008682899999996607,27.09663130000041,1.458419900000024,3.111548499999998,0.013508099999967271,22.5042516000004,0.00013530000001082954,264.5065626,8.50000000127693e-05,0.24228189885616302,0.5343137383460999,19.853863,6.3769,-2.9743643,4.9377933,-121.43235,184.17943,102.31075,0.125558,41.44556,166.36934,103.67766,25.07519,37.18432,164.53867,102.141846,26.14462,37.160538,163.66295,168.83868,9000
9,0.99044305,-0.046590064,-0.9552607,0.9084429,-4.536298219953703,87,-4.172767929800951,-4.536298219953703,-4.825383239688803,0.18555467689479352,0.5436384651603842,-0.39824212425426053,-1.9847109728671841,0.809489198341237,-0.11922436539272967,-0.1267871033071387,-0.13534613239944934,0.003875447888332452,-0.657593709843687,-0.7638883658520177,-0.8133435087852147,0.042453412655233815,0.001186662024367517,-0.0036570946885361227,-0.008567360555729531,0.002819493258220312,-0.45103312516783234,-0.4793005525457094,-0.49568959349895614,0.011664476877055975,0.001186662024367517,-0.07835782527300382,-0.13534613239944934,0.04091026242417716,-0.45103312516783234,-1.393277489201594,-2.9834357390024,0.8101931340236179,685,9849,12,11.39080459770115,11,0.4879306960181869,0.99877363,-0.053303305,-0.99678695,0.87499267,-4.674987545882518,91,-1.7396556317521268,-4.674987545882518,-6.701519497770032,0.8575223063462583,0.8890494948088693,-0.4254238666753091,-2.2283559212401145,0.8128476620099713,-0.09057009764491428,-0.12508797179076223,-0.15099321150535377,0.007648520974684042,-0.529525083607922,-0.7835658154640913,-1.6163328389198692,0.141280425770633,0.0021107146541450217,-0.0037519802902476313,-0.008453015735467796,0.002798233967565841,-0.11065422307853222,-0.44633233658442983,-0.5175066917556054,0.06494116547584369,0.0021107146541450217,-0.07676186233122037,-0.15099321150535377,0.04162888408123997,-0.11065422307853222,-1.4208131459475366,-3.223602725954317,0.8133172056894075,760,11000,17,10.989010989010989,6,1.6935203304859825,11000,0.010125200000004497,26.215706199999943,1.490703499999995,3.2038182000000006,0.01913629999995692,21.491751999999963,0.00011360000002014203,292.1321675999995,5.740000000287182e-05,0.30924418568611145,2.732300281524658,19.685759,8.328089,-0.14547932,5.2878747,-139.19293,201.34676,122.663475,-6.144348,51.616722,210.13388,120.85033,-15.532216,48.442257,205.72145,118.97488,0.022229966,48.00356,295.42114,306.18604,10000
